no,title,phone,mobile,manager,address,email,website,group,subgroup
1,خريد و فروش پسته,34268767,9131916280,حسن كشاورزي,رفسنجان خيابان شريعتي غربي نبش ميدان انقلاب,,,آجیل و خشکبار,محصولات غذایی
2,تايپ و تكثير عرفان و انديشه,34267372,9123456789,زهرا اطهري پور,رفسنجان ميدان شهداء ابتداي بلوار مدرس,,,تایپ و کپی,نشر و انتشارات
3,تاسیسات سایبان ساز,3434315757,9133939905,مرتضی پاکزاد,رفسنجان بلوار مدرس شمالی جنب ورودی شهرک آفتاب,morteza5pakzad@gmail.com,,تاسیسات ساختمان,خدمات ساختمان
4,لوازم یدکی موتورسیکلت نژادی,3434266650,9351914955,حمید نژادی,رفسنجان خیابان سعدی پلاک 8 لوازم موتور نژادی,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
5,عکاسی مدرن,34227760,9137657141,مهندس ابولی,رفسنجان مصطفی خمینی 46,,,آتلیه عکاسی,خدمات مجالس
6,کیمیا چوب,,9124721659,امین عبدی,اشرفی اصفهانی شمال به جنوب نرسیده به نیایش پلاک8 واحد6,nastaranbaghdadi@yahoo.com,,درب ، پنجره و حفاظ,خدمات ساختمان
7,تعمیرات و فروش موبایل,,9131914199,حسن امیری,رفسنجان خیابان شهید نوری نبش چهارراه دانشجو,hosseinmobile379@gmail.com,,موبایل,کامپیوتر و الکترونیک
8,صبا الکتریک رفسنجان,3434257423,9133919724,حسین باغبانیان,رفسنجان-خیابان امام خمینی جنب بانک سپه,h.baghbanian@gmail.com,www.sabaelectric-rafsanjan.com,برق صنعتی,صنعت
9,صبا الکتریک رفسنجان,3434257423,9133919724,حسین باغبانیان,رفسنجان خیابان مفتح ابتدای جانبازان,h.baghbanian@gmail.com,www.sabaelectric-rafsanjan.com,تابلو سازی,صنعت
10,کامپیوتر پژواک,,9121001111,اسماعیلی,رفسنجان ، بلوار طالقانی ، میدان آبشار,,,کامپیوتر و قطعات,کامپیوتر و الکترونیک
11,تولیدتخم بلدرچین,,9132901229,حسنی,,,,فراوردهای پروتیینی,محصولات غذایی
12,تراشکاری توانا,34286224,9131938655,حسن حیدری مقدر,بلوار امام رضا جنب کارواش اخوندی,tavana.hh@gimal.com,,تراشکاری,صنعت
13,آرایشگاه فرح آرا,3434253945,9139928389,خاکساری,خیابان طالقانی، نبش طالقانی 13,,,آرایشگاه زنانه,آرایشی و بهداشتی
14,لوازم خیاطی,,9139421180,علی عابدینی,لاهیجان خیابان شهید حسینی(بهداشت)لوازم خیاطی عابدینی,abedini123@gmail.com,,خیاطی,خرازی
15,کامپیوتر پارسیان,3434232493,9133903249,شعبان پور,خیابان مصطفی خمینی، نبش میدان شهید پرتویی,Computer_parsian@yahoo.com,www.Computer-parsian.com,کامپیوتر و قطعات,کامپیوتر و الکترونیک
16,فروشگاه لوازم خانگی,34224392,9133936749,حسین عزیزی,خیابان مصطفی خمینی نبش کوچه آموزشگاه نادری روبرو بانک سپه,hazizi6749.jmail@.com,,فروشگاه لوازم خانگی,لوازم خانگی
17,لیزر آفتاب,,9136511300,حسین زاده,رفسنجان,laser.aftab@gmail.com,,تابلو نویسی,هنر و صنایع دستی
18,آرایشگری,9138547027,9138547027,آرایشگری,رفسنجان,,,آرایشگاه زنانه,آرایشی و بهداشتی
19,لاستیک فروش,3434267931,9132929601,محمدرضا نژادمحمدی,رفسنجان خیابان کارگر(اقتصاد)جنب بانک سپه,,,فروشندگان لاستیک,خدمات وسایل نقلیه
20,تاچ,9131930968,9131930968,,,,,لوازم تحریر,نشر و انتشارات
21,تغذیه,3434264314,9194890213,,خیابان عباسیه. نبش کوچه 4 ساختمان پزشکان طبقه همکف,,,پزشکان متخصص تغذیه,طب و پزشکان
22,صنایع آجر قصر,,9132901851,اسدی,,,,آجر,خدمات ساختمان
23,پست سریع تی پی جی شعبه رفسنجان,3434283259,9137699447,آقای مرادی,رفسنجان ، خیابان امام حدفاصل کوچه ۶ و (روبه روی سه راه ثارالله (,Moradihamid708@gmail.com,Www.tpg.ir,حمل و نقل کالا,حمل و نقل
24,عمده فروشی,,9131901185,شمسی,رفسنجان خ ایثار,,,بنکداران,محصولات غذایی
25,لوازم یدکی,34344844,9132918217,پیغمبرزاده,,mpmahmudi@gmail.com,,لوازم یدکی خودرو,خدمات وسایل نقلیه
26,کاوشگران,3434268720,9135740342,,,,,لوازم کشاورزی و سموم,دام و طیور
27,زیبایی ناردانا,,9139879516,شریف آبادی,رفسنجان-خیابان طالقانی-نبش طالقانی1-بالای کافی نت آی تی,,,آرایشگاه زنانه,آرایشی و بهداشتی
28,خدمات کامپیوتری.گیم نت.کافی نت,3434310013,9137441466,سهیل پورجعفری,شهرمس سرچشمه.خیابان کوکب ۹,,,خدمات اینترنت,کامپیوتر و الکترونیک
29,نمایندگی باتری مجید,,9133661291,مجید بنا,رفسنجان - خیابان کارگر - سه راه مصلی قدیم . بین کوچه ۱۷ و ۱۹,,,سیم پیچی و باطری سازی,خدمات وسایل نقلیه
30,فروشگاه تاسیسات دره کردی,3434332823,9140980141,مهندس محمد دره کردی,رفسنجان بلوار خلیج فارس,tasisatdarehkordi@gmail.com,https://www.instagram.com/tasisat_darehkordi?r=nam,لوله و اتصالات,خدمات ساختمان
31,میوه فروشی,34225914,9133911948,محمدملااحمدی,خیابان مصطفی خمینی نبش کوچه 41,ma8217731@gmail.com,,میوه و تره بار,محصولات غذایی
32,ایلیواصنعت,9120411831,9101407868,امین رشیدی,,,Ilivaco.blogfa.com,فروش و تعمیر ماشین آلات کشاورزی,صنعت
33,افرنگ کرمانیان,34288281,9134561220,ناصری,خیابان حجاب,,,مرغ و ماهی,محصولات غذایی
34,باطری فروشی,,9131913952,صادق اسماعیلی,رفسنجان - بلوار امام رضا رو به روی سایپا,sadegh3727@gmail.com,,سیم پیچی و باطری سازی,خدمات وسایل نقلیه
35,خدمات کامپیوتر کلیک,34161954,9133933953,محمد عباسی,نوق - بهرمان - بلوار آیت الله خامنه ای - جنب بانک تجارت,moh49ammad@yahoo.com,,لوارم جانبی کامپیوتر,کامپیوتر و الکترونیک
36,مواد غذایی اسماعیلی,34252880,9357656332,محمد اسماعیلی,رفسنجان خیابان امیرکبیر شرقی نبش کوچه 6,,,سوپر مواد غذایی و خواربار,محصولات غذایی
37,بی بی وان,,9134931756,مرتضی ربیعی,رفسنجان خیابان مدرس رو به رو تالار عقیق خیابان مدرس روبه رو تالار عقیق,,,پوشاک بچه گانه,پوشاک
38,مرکز خرید ترنج,,9131915124,محمدی نسب,رفسنجان خیابان مدرس نرسیده به میدان۹ دی یا پمپ قلی زاده,,,سوپر مواد غذایی و خواربار,محصولات غذایی
39,مرغ و ماهی صدف,,9139938240,کرمی,رفسنجان خ مصطفی خمینی بین کوچه 23 و 25,karamimahmood@yahoo.com,,مرغ و ماهی,محصولات غذایی
40,دامپزشکی,,9135003972,,بلوار حجت,jalalia11@yahoo.com,,دامپزشکی,دام و طیور
41,طلا سازی,,9394492171,,بلوارمطهری خیابان شهیدعبداللهی پلاک ۴۹,masoodrazani6@gmail.com,,آزمایشگاه طلا,زیور آلات
42,شهرقشنگ,34220751,9133912831,محمددهشیری پاریزی,خیابان مصطفی خمینی جنب کوچه 60,Fatemee563624@yahoo.com,,دفتر اسناد رسمی,خدمات شهری
43,نجار,,9137140843,,,ehsan.farsinia@gmail.com,,تزیینات داخلی,دکوراسیون و مبلمان
44,کارتن داران,,9125644968,حمید فاتحی,رفسنجان خیابان سردار جنگل سردار جنگل14 پلاک4,hamidfatehiporglab@gmail.com,,کارتن سازی,صنعت
45,گروه تولیدی ایده آل,,9137140733,علی دیانتی نیا,خیابان دانشجو روبروی کوچه 22,,,کابینت,خدمات ساختمان
46,آموزشگاه صنایع دستی,,9132905446,فاطمه میرزایی,خیابان جانبازان نبش کوچه 49,,,آموزش صنایع دستی,آموزش
47,شرکت الماس جنوب,,9133770964,سیدحسین مرتضوی لاهیجانی,,,,ماشین آلات صنعتی,صنعت
48,محبوب خراسانی,,9135405671,محبوبه خراسانی,میدان شهید امینی کوچه۸۷,mkhorasani1360@yahoo.com,,آرایشگاه زنانه,آرایشی و بهداشتی
49,پته کریمی,,9136694975,خانم کریمی,رفسنجان.,,,صنایع دستی,هنر و صنایع دستی
50,طراحی ربات اینترنتی,,9132914263,اسدی,,asadi.mahdi@gmail.com,,طراحی وب سایت,کامپیوتر و الکترونیک
51,بهرمان,34161450,9131911997,,نوق بهرمان خیابان آیت الله خامنه ای جنب بانک ملت,,,مشاورین املاک,خدمات ساختمان
52,شهرما,34328891,9131916314,,رفسنجان-خیابان شهید نوری-نرسیده به تقاطع دانشجو,,,مشاورین املاک,خدمات ساختمان
53,غفاری,34255081,9131915032,,خیابان خیام - جنب شهرداری بافت قدیم,,,مشاورین املاک,خدمات ساختمان
54,مرکزی,34265063,9133918116,,خیابان امام خمینی مقابل پاساژ حسینی,,,مشاورین املاک,خدمات ساختمان
55,معراج مرکزی,34230211,9133920392,,خیابان مدرس بعد از پمپ بنزین قلی زاده روبروی درمانگاه امام رضا,,,مشاورین املاک,خدمات ساختمان
